Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
61,19,1,1,0,0,1,320,306,58.0,21.0,965.0,2145.0,2.03,1.79,0
77,30,0,0,0,1,1,43,155,300.0,94.0,134.0,638.0,3.0,1.38,0
53,17,2,1,2,0,3,488,405,210.0,83.0,305.0,832.0,1.83,1.99,1
70,72,0,1,2,4,1,688,745,93.0,163.0,744.0,410.0,2.05,1.78,0
9,91,1,1,0,1,2,216,748,31.0,74.0,1240.0,711.0,1.53,2.47,1
40,126,0,1,0,4,2,313,195,23.0,91.0,1660.0,597.0,1.32,3.37,0
55,94,0,0,2,7,1,307,102,13.0,16.0,3128.0,2650.0,1.87,1.93,1
57,83,3,1,0,0,1,551,484,46.0,101.0,1047.0,612.0,2.06,1.75,1
23,131,3,1,2,2,1,132,49,152.0,19.0,360.0,1760.0,2.64,1.48,1
87,78,0,1,1,1,2,208,271,5.0,302.0,4945.0,160.0,1.06,8.92,0
85,115,0,0,2,0,1,592,662,69.0,50.0,795.0,980.0,1.69,2.2,0
53,17,2,1,2,1,4,585,322,119.0,75.0,470.0,676.0,1.5,2.55,0
56,79,3,1,2,1,1,743,618,64.0,38.0,818.0,990.0,1.48,2.64,0
86,116,0,0,2,1,2,662,152,49.0,19.0,933.0,2225.0,3.81,1.26,0
51,55,0,1,0,0,2,187,720,26.0,65.0,1627.0,815.0,1.56,2.45,1
90,100,1,1,2,1,1,569,732,20.0,273.0,1755.0,188.0,1.12,6.49,1
28,97,0,1,2,4,1,222,629,33.0,11.0,1695.0,2910.0,2.72,1.46,1
58,93,0,0,2,0,2,311,148,101.0,105.0,555.0,530.0,2.4,1.54,0
63,87,0,0,2,0,2,332,172,89.0,58.0,635.0,878.0,1.64,2.25,1
17,49,0,1,0,1,2,458,553,94.0,14.0,645.0,2200.0,3.53,1.3,1
80,68,0,1,2,0,1,732,490,227.0,59.0,224.0,814.0,2.57,1.5,0
41,21,3,1,2,0,1,396,367,100.0,179.0,606.0,342.0,1.79,2.02,1
33,51,0,1,0,0,1,688,108,76.0,104.0,939.0,761.0,2.07,1.75,0
59,103,3,1,2,2,1,496,540,2.0,24.0,7945.0,1640.0,1.06,9.41,1
1,5,1,1,2,0,1,679,733,82.0,16.0,700.0,2060.0,2.91,1.4,0
58,93,0,0,2,4,1,3,30,90.0,128.0,620.0,438.0,1.98,1.84,1
57,83,3,1,0,0,1,250,121,15.0,43.0,2750.0,1453.0,1.74,2.1,1
74,64,3,1,0,2,1,320,500,24.0,125.0,1675.0,506.0,1.35,3.21,1
22,29,0,1,2,1,2,489,202,38.0,157.0,1105.0,362.0,1.18,4.7,0
53,17,2,1,2,2,4,640,153,15.0,53.0,2145.0,815.0,1.15,5.51,1
64,57,0,1,1,1,1,96,691,83.0,167.0,675.0,327.0,2.25,1.64,1
68,20,3,0,2,1,2,332,121,20.0,10.0,1760.0,3100.0,3.19,1.34,0
36,53,1,1,1,0,2,262,349,45.0,25.0,972.0,1555.0,5.36,1.15,0
96,32,1,1,2,0,1,353,316,54.0,49.0,815.0,955.0,1.87,1.92,1
45,132,2,1,1,0,4,552,677,73.0,8.0,697.0,3895.0,2.85,1.42,0
71,99,1,1,1,1,1,96,121,37.0,17.0,1105.0,2130.0,2.66,1.47,0
75,0,1,0,2,4,1,307,592,21.0,10.0,2205.0,3220.0,2.07,1.74,1
23,131,3,1,2,0,2,748,222,68.0,54.0,747.0,849.0,2.07,1.73,1
10,119,1,0,2,1,1,661,593,258.0,14.0,212.0,2985.0,3.03,1.37,0
53,17,2,1,2,0,3,111,414,80.0,132.0,818.0,555.0,5.43,1.15,0
81,108,3,1,2,1,1,29,472,26.0,46.0,1760.0,1160.0,3.2,1.34,0
57,83,3,1,0,2,1,696,765,12.0,5.0,3175.0,5415.0,2.01,1.79,1
27,37,0,1,2,1,1,562,248,150.0,49.0,382.0,1125.0,2.93,1.4,0
63,127,2,1,2,4,3,592,443,14.0,5.0,2234.0,5890.0,3.98,1.25,0
68,47,2,1,0,1,4,522,187,91.0,49.0,593.0,933.0,3.69,1.28,0
45,132,2,1,1,6,4,313,10,10.0,8.0,3045.0,3635.0,1.84,2.01,0
53,17,2,1,2,3,3,165,147,5.0,24.0,5070.0,1710.0,1.21,4.4,1
