p1_rank,p2_rank,p1_winrate,p2_winrate,surface,target
7.0,99.0,0.8181818181818182,0.3333333333333333,3,1
99.0,7.0,0.3333333333333333,0.8181818181818182,3,0
35.0,90.0,0.7142857142857143,0.0,3,1
90.0,35.0,0.0,0.7142857142857143,3,0
21.0,135.0,0.6,0.4,3,1
135.0,21.0,0.4,0.6,3,0
11.0,96.0,0.7142857142857143,0.3333333333333333,3,1
96.0,11.0,0.3333333333333333,0.7142857142857143,3,0
4.0,59.0,0.8571428571428571,0.6,3,1
59.0,4.0,0.6,0.8571428571428571,3,0
19.0,34.0,0.5,0.5,3,1
34.0,19.0,0.5,0.5,3,0
7.0,35.0,0.8181818181818182,0.7142857142857143,3,1
35.0,7.0,0.7142857142857143,0.8181818181818182,3,0
21.0,16.0,0.6,0.5,3,1
16.0,21.0,0.5,0.6,3,0
37.0,11.0,0.6666666666666666,0.7142857142857143,3,1
11.0,37.0,0.7142857142857143,0.6666666666666666,3,0
8.0,27.0,0.9,0.75,3,1
27.0,8.0,0.75,0.9,3,0
6.0,50.0,0.7777777777777778,0.5714285714285714,3,1
50.0,6.0,0.5714285714285714,0.7777777777777778,3,0
19.0,4.0,0.5,0.8571428571428571,3,1
4.0,19.0,0.8571428571428571,0.5,3,0
7.0,21.0,0.8181818181818182,0.6,3,1
21.0,7.0,0.6,0.8181818181818182,3,0
8.0,37.0,0.9,0.6666666666666666,3,1
37.0,8.0,0.6666666666666666,0.9,3,0
6.0,69.0,0.7777777777777778,0.3333333333333333,3,1
69.0,6.0,0.3333333333333333,0.7777777777777778,3,0
7.0,19.0,0.8181818181818182,0.5,3,1
19.0,7.0,0.5,0.8181818181818182,3,0
8.0,6.0,0.9,0.7777777777777778,3,1
6.0,8.0,0.7777777777777778,0.9,3,0
8.0,7.0,0.9,0.8181818181818182,3,1
7.0,8.0,0.8181818181818182,0.9,3,0
32.0,45.0,0.3333333333333333,0.75,1,1
45.0,32.0,0.75,0.3333333333333333,1,0
77.0,48.0,0.4,0.25,1,1
48.0,77.0,0.25,0.4,1,0
110.0,56.0,0.25,0.4,1,1
56.0,110.0,0.4,0.25,1,0
38.0,63.0,0.5,0.5,1,1
63.0,38.0,0.5,0.5,1,0
66.0,68.0,0.3333333333333333,0.42857142857142855,1,1
68.0,66.0,0.42857142857142855,0.3333333333333333,1,0
77.0,31.0,0.4,0.625,1,1
31.0,77.0,0.625,0.4,1,0
30.0,61.0,0.5714285714285714,0.5,1,1
61.0,30.0,0.5,0.5714285714285714,1,0
110.0,38.0,0.25,0.5,1,1
38.0,110.0,0.5,0.25,1,0
110.0,30.0,0.25,0.5714285714285714,1,1
30.0,110.0,0.5714285714285714,0.25,1,0
32.0,33.0,0.3333333333333333,0.25,1,1
33.0,32.0,0.25,0.3333333333333333,1,0
53.0,108.0,0.5555555555555556,0.5,3,1
108.0,53.0,0.5,0.5555555555555556,3,0
59.0,31.0,0.4444444444444444,0.25,3,1
31.0,59.0,0.25,0.4444444444444444,3,0
60.0,102.0,0.5714285714285714,0.0,3,1
102.0,60.0,0.0,0.5714285714285714,3,0
48.0,45.0,0.25,0.5555555555555556,3,1
45.0,48.0,0.5555555555555556,0.25,3,0
20.0,47.0,0.42857142857142855,0.7,3,1
47.0,20.0,0.7,0.42857142857142855,3,0
85.0,65.0,0.2,0.2857142857142857,3,1
65.0,85.0,0.2857142857142857,0.2,3,0
53.0,6.0,0.5555555555555556,0.7692307692307693,3,1
6.0,53.0,0.7692307692307693,0.5555555555555556,3,0
21.0,83.0,0.625,0.3333333333333333,3,1
83.0,21.0,0.3333333333333333,0.625,3,0
16.0,60.0,0.5,0.5714285714285714,3,1
60.0,16.0,0.5714285714285714,0.5,3,0
48.0,20.0,0.25,0.42857142857142855,3,1
20.0,48.0,0.42857142857142855,0.25,3,0
17.0,85.0,0.6,0.2,3,1
85.0,17.0,0.2,0.6,3,0
35.0,13.0,0.5,0.0,3,1
13.0,35.0,0.0,0.5,3,0
59.0,69.0,0.4444444444444444,0.3333333333333333,3,1
69.0,59.0,0.3333333333333333,0.4444444444444444,3,0
21.0,53.0,0.625,0.5555555555555556,3,1
53.0,21.0,0.5555555555555556,0.625,3,0
16.0,48.0,0.5,0.25,3,1
48.0,16.0,0.25,0.5,3,0
17.0,35.0,0.6,0.5,3,1
35.0,17.0,0.5,0.6,3,0
59.0,7.0,0.4444444444444444,0.9333333333333333,3,1
7.0,59.0,0.9333333333333333,0.4444444444444444,3,0
21.0,16.0,0.625,0.5,3,1
16.0,21.0,0.5,0.625,3,0
17.0,59.0,0.6,0.4444444444444444,3,1
59.0,17.0,0.4444444444444444,0.6,3,0
17.0,21.0,0.6,0.625,3,1
21.0,17.0,0.625,0.6,3,0
56.0,86.0,0.6666666666666666,0.5555555555555556,3,1
86.0,56.0,0.5555555555555556,0.6666666666666666,3,0
24.0,73.0,0.25,0.0,3,1
73.0,24.0,0.0,0.25,3,0
46.0,72.0,0.6923076923076923,0.3333333333333333,3,1
72.0,46.0,0.3333333333333333,0.6923076923076923,3,0
78.0,19.0,0.2,0.6,3,1
19.0,78.0,0.6,0.2,3,0
61.0,70.0,0.42857142857142855,0.5555555555555556,3,1
70.0,61.0,0.5555555555555556,0.42857142857142855,3,0
132.0,87.0,0.25,0.2,3,1
87.0,132.0,0.2,0.25,3,0
29.0,97.0,0.5555555555555556,0.42857142857142855,3,1
97.0,29.0,0.42857142857142855,0.5555555555555556,3,0
42.0,57.0,0.6363636363636364,0.5555555555555556,3,1
57.0,42.0,0.5555555555555556,0.6363636363636364,3,0
101.0,39.0,0.3333333333333333,0.42857142857142855,3,1
39.0,101.0,0.42857142857142855,0.3333333333333333,3,0
61.0,15.0,0.42857142857142855,0.6666666666666666,3,1
15.0,61.0,0.6666666666666666,0.42857142857142855,3,0
41.0,132.0,0.5555555555555556,0.25,3,1
132.0,41.0,0.25,0.5555555555555556,3,0
29.0,143.0,0.5555555555555556,0.4,3,1
143.0,29.0,0.4,0.5555555555555556,3,0
56.0,101.0,0.6666666666666666,0.3333333333333333,3,1
101.0,56.0,0.3333333333333333,0.6666666666666666,3,0
